Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000134,mesenchymal cell,IL6,cell,Positive,12,4.49
CL_0000236,B cell,CXCL13,cytokine,Unknown,12,36.55
CL_0000057,fibroblast,CSF2,cell,Positive,12,1.41
CL_0000545,T-helper 1 cell,IL2,cell,Positive,12,0.96
CL_0000775,neutrophil,IL6,cytokine,Unknown,12,1.03
CL_0000235,macrophage,IFN1,cell,Positive,12,3.32
CL_0000771,eosinophil,IL4,cytokine,Positive,12,0.77
CL_0000738,leukocyte,CCL2,cytokine,Positive,11,1.12
CL_0000738,leukocyte,CXCL8,cytokine,Unknown,11,3.37
CL_0000127,astrocyte,IL1B,cytokine,Positive,11,3.87
CL_0000771,eosinophil,TNF,cell,Positive,11,0.56
CL_0000775,neutrophil,CXCL2,cytokine,Unknown,11,28.87
CL_0000057,fibroblast,TNF,cytokine,Unknown,11,0.89
CL_0000738,leukocyte,IL6,cytokine,Positive,11,0.57
CL_0000066,epithelial cell,TGFB,cytokine,Positive,11,1.28
CL_0000824,mature natural killer cell,IL2,cytokine,Unknown,11,9.36
CL_0000062,osteoblast,TGFB,cytokine,Unknown,11,6.93
CL_0000312,keratinocyte,IL18,cell,Positive,11,10.52
CL_0000097,mast cell,IL4,cytokine,Positive,11,1.69
CL_0000542,lymphocyte,IL4,cytokine,Unknown,11,2
CL_0000312,keratinocyte,TGFA,cell,Positive,11,38.45
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL10,cytokine,Unknown,11,3.28
CL_0000062,osteoblast,TNF,cytokine,Positive,11,0.98
CL_0000092,osteoclast,IL6,cytokine,Unknown,11,5.53
CL_0000134,mesenchymal cell,FGF2,cytokine,Positive,11,6.43
CL_0000084,T cell,IFNB1,cytokine,Positive,11,0.73
CL_0000542,lymphocyte,IL7,cell,Positive,11,2.64
CL_0000129,microglial cell,TNF,cytokine,Positive,11,1.11
CL_0000499,stromal cell,FGF2,cell,Positive,11,7.16
CL_0000169,type B pancreatic cell,IL1B,cell,Positive,11,24.32
CL_0000910,cytotoxic T cell,IFNG,cytokine,Unknown,11,6.31
CL_0000312,keratinocyte,TGFB,cytokine,Unknown,11,4.5
CL_0000235,macrophage,CSF2,cytokine,Negative,11,2.35
CL_0000138,chondrocyte,IL6,cell,Positive,11,3.38
CL_0000062,osteoblast,FGF2,cytokine,Unknown,11,14.44
CL_0000192,smooth muscle cell,FGF2,cell,Positive,11,17.12
CL_0000775,neutrophil,IL17A,cell,Positive,11,3.43
CL_0000235,macrophage,IL1,cytokine,Positive,11,0.31
CL_0000625,"CD8-positive, alpha-beta T cell",IFNG,cytokine,Negative,11,1.51
CL_0000236,B cell,TGFB,cytokine,Negative,11,3.68
CL_0000542,lymphocyte,IL6,cytokine,Unknown,11,1.65
CL_0000312,keratinocyte,TGFB1,cytokine,Negative,11,12.7
CL_0000546,T-helper 2 cell,IL10,cell,Positive,11,2.39
CL_0000786,plasma cell,IL6,cell,Positive,11,14.95
CL_0000545,T-helper 1 cell,IL17,cell,Positive,11,5.12
CL_0000084,T cell,IL3,cell,Positive,11,0.99
CL_0000037,hematopoietic stem cell,CXCL12,cytokine,Unknown,11,51.75
CL_0000066,epithelial cell,TNF,cytokine,Unknown,11,2.22
CL_0000623,natural killer cell,TNF,cytokine,Positive,11,0.25
CL_0000169,type B pancreatic cell,IL1B,cytokine,Positive,11,17.98
CL_0000911,effector T cell,IFNG,cell,Positive,11,4.4
CL_0000236,B cell,IFNA,cytokine,Positive,11,1.04
CL_0000546,T-helper 2 cell,IL33,cytokine,Positive,11,13.53
CL_0000623,natural killer cell,IFNG,cytokine,Negative,11,1.38
CL_0000542,lymphocyte,IL2,cytokine,Negative,11,2.07
CL_0000625,"CD8-positive, alpha-beta T cell",IL7,cell,Positive,10,2.78
CL_0000738,leukocyte,RETN,cell,Positive,10,15.5
CL_0000738,leukocyte,IL1,cell,Positive,10,1.38
CL_0000542,lymphocyte,IL10,cytokine,Unknown,10,1.51
CL_0000062,osteoblast,TNF,cytokine,Negative,10,7.08
CL_0000115,endothelial cell,CXCL8,cytokine,Positive,10,0.95
CL_0000057,fibroblast,TGFB1,cytokine,Negative,10,5.03
CL_0000134,mesenchymal cell,HGF,cell,Positive,10,44.95
CL_0000236,B cell,IFNG,cytokine,Unknown,10,0.43
CL_0000192,smooth muscle cell,TGFB,cytokine,Unknown,10,17.73
CL_0000815,regulatory T cell,TGFB1,cell,Positive,10,11.5
CL_0000540,neuron,IL6,cytokine,Positive,10,0.99
CL_0000576,monocyte,TGFB,cytokine,Positive,10,0.28
CL_0000092,osteoclast,TNF,cytokine,Unknown,10,2.51
CL_0000542,lymphocyte,IL1,cytokine,Positive,10,0.86
CL_0000233,platelet,TNF,cell,Positive,10,0.48
CL_0000235,macrophage,IL4,cytokine,Unknown,10,0.65
CL_0000057,fibroblast,IFNG,cytokine,Negative,10,1.54
CL_0000235,macrophage,IL1RN,cell,Positive,10,3.16
CL_0000084,T cell,IL15,cytokine,Negative,10,3.45
CL_0000236,B cell,IL13,cell,Positive,10,4.07
CL_0000624,"CD4-positive, alpha-beta T cell",IL5,cell,Positive,10,2.13
CL_0000545,T-helper 1 cell,IL4,cytokine,Unknown,10,4.6
CL_0000556,megakaryocyte,IL6,cell,Positive,10,6.19
CL_0000625,"CD8-positive, alpha-beta T cell",IL4,cell,Positive,10,1.05
CL_0000542,lymphocyte,TGFB,cell,Positive,10,0.7
CL_0000625,"CD8-positive, alpha-beta T cell",IL17,cell,Positive,10,2.12
CL_0000094,granulocyte,CSF2,cytokine,Unknown,10,16.27
CL_0000625,"CD8-positive, alpha-beta T cell",IL7,cytokine,Positive,10,2.4
CL_0000127,astrocyte,TNF,cytokine,Positive,10,0.91
CL_0000115,endothelial cell,IL6,cytokine,Positive,10,0.56
CL_0000056,myoblast,FGF2,cytokine,Positive,10,13.13
CL_0000057,fibroblast,EGF,cytokine,Positive,10,11.61
CL_0000096,mature neutrophil,CXCL8,cell,Positive,10,19.48
CL_0000542,lymphocyte,LTA,cell,Positive,10,19.18
CL_0000624,"CD4-positive, alpha-beta T cell",IL7,cytokine,Positive,10,1.62
CL_0000097,mast cell,IL33,cytokine,Positive,10,11.8
